-375,-812,-500
-312,-1062,-375
-218,-1250,-281
-93,-1218,31
-125,-1062,62
-218,-1000,-93
-187,-968,0
-125,-937,-93
-218,-968,31
-156,-687,0
187,-906,-343
-62,-1062,0
-31,-1218,-31
-62,-1187,31
-31,-1156,62
-62,-1093,31
-125,-1125,0
-31,-968,-187
-125,-906,-93
-187,-750,-218
-250,-906,-281
-343,-1156,-187
-156,-1062,-125
-62,-1093,-31
-125,-1093,31
-187,-1031,-62
-156,-1031,-31
-187,-937,31
-93,-656,31
187,-625,-343
-93,-937,-93
-93,-1312,93
-93,-1250,0
-62,-1281,93
-93,-1250,62
-156,-1125,-62
-93,-906,-93
-125,-781,-62
-250,-531,-343
-312,-843,-343
-375,-1187,-218
-187,-1125,-31
0,-1125,0
-218,-1125,62
-281,-1062,-31
-218,-1062,31
-250,-1000,31
-187,-656,0
281,-687,-437
31,-718,-62
-218,-1281,31
-62,-1156,-31
-62,-1250,187
-187,-1187,0
-62,-1031,-187
-93,-937,-31
-187,-750,-156
-156,-718,-343
-343,-1125,-312
-281,-1031,-187
-31,-1062,-156
-93,-1125,93
-187,-1093,-31
-250,-1156,31
-250,-1000,0
-218,-812,-31
-62,-531,-125
281,-750,-500
-62,-1281,93
-62,-1218,-62
-281,-1281,-31
-62,-1250,31
-31,-1187,62
-125,-1031,-125
-156,-875,-156
-281,-750,-437
-281,-1031,-406
-281,-1156,-187
-93,-1156,-62
-93,-1156,0
-218,-1125,0
-250,-1125,31
-187,-968,0
-312,-875,-31
-187,-625,-62
218,-718,-375
0,-1093,-31
-31,-1250,0
-218,-1281,-31
-156,-1250,31
-93,-1187,93
-93,-1187,31
-93,-937,-156
-156,-718,-156
-250,-562,-343
-250,-812,-375
-312,-1250,-250
-187,-1156,-93
-62,-1093,0
-187,-1031,-62
-187,-1000,0
-218,-1000,31
-187,-750,0
156,-843,-375
31,-875,-93
31,-1375,-31
-156,-1281,0
-156,-1156,0
-62,-1093,31
-156,-1093,-31
-93,-1000,-156
-125,-875,-93
-62,-687,-93
-312,-812,-437
-312,-1031,-343
-156,-1312,-250
-62,-1187,-62
93,-1093,0
-156,-1093,31
-281,-1031,-31
-125,-968,-31
-156,-906,-93
-250,-750,0
93,-843,-312
125,-812,-31
-187,-1343,62
-156,-1187,-31
-31,-1093,31
-62,-1000,-31
-125,-937,-156
-125,-843,-187
-93,-750,-125
-187,-656,-375
-375,-1093,-250
-93,-1437,-281
-62,-1250,0
-62,-1093,31
-156,-1000,0
-156,-968,31
0,-843,-62
-62,-843,-62
-187,-843,93
156,-1093,-218
187,-1031,-187
-156,-1375,-62
-187,-1187,-156
-156,-1093,-125
-250,-937,-187
-218,-968,-156
-156,-875,-218
-31,-750,-156
-281,-937,-281
-312,-1031,-312
-343,-1375,-125
-187,-1156,-125
-218,-1062,-125
-218,-1093,-93
-187,-1093,-62
-156,-1031,-93
-156,-968,-156
-250,-781,-93
-93,-656,-156
312,-812,-406
0,-1250,62
-218,-1312,-62
-125,-1250,-31
0,-1218,93
-156,-968,0
-218,-968,-62
-93,-843,-125
-125,-906,-93
-93,-843,-93
-281,-968,-218
-312,-1125,-312
-343,-1375,-156
-62,-906,0
-156,-875,-62
-250,-875,-62
-187,-843,-31
-187,-875,-31
-250,-906,31
-187,-781,31
93,-843,-281
0,-1031,-62
-62,-1437,-31
-156,-1343,31
-125,-1281,62
-125,-1187,31
-187,-1062,0
-125,-875,-156
-187,-718,-187
-156,-562,-187
-437,-812,-468
-437,-1343,-375
-125,-1437,-156
-62,-1156,0
-156,-1031,0
-218,-843,-125
-218,-875,-62
-187,-843,-31
-218,-718,31
62,-875,-312
-93,-1093,-31
0,-1468,-62
-187,-1375,62
-125,-1281,0
-31,-1093,0
-125,-1031,-125
-156,-843,-218
-156,-718,-187
-125,-531,-187
-437,-750,-437
-437,-1218,-312
-125,-1281,-218
-156,-1250,-62
-125,-1312,31
-343,-1093,-31
-218,-968,-62
-156,-843,-31
-187,-750,-62
-62,-437,-125
187,-718,-468
-218,-1437,93
-93,-1375,-93
-187,-1437,93
-93,-1125,0
-187,-1031,-156
-187,-781,-218
-218,-562,-187
-281,-437,-468
-375,-937,-375
-250,-1468,-281
-156,-1156,-93
-218,-1250,31
-281,-1093,-31
-250,-1031,-93
-218,-968,-31
-187,-843,-93
-218,-562,-31
156,-687,-406
0,-875,-31
-31,-1468,0
-156,-1375,-31
-218,-1312,0
-62,-1250,0
-62,-1093,-62
-156,-875,-218
-125,-718,-156
-125,-531,-187
-406,-781,-406
-156,-1250,-125
-93,-1250,-31
-218,-1250,31
-312,-1093,-31
-250,-1031,0
-187,-843,0
-218,-687,-93
-156,-468,-125
187,-718,-468
-156,-1437,125
-62,-1312,0
-218,-1312,0
-62,-1343,93
